codigo;populacao;pibpercapta
3300100;169511;37403,66
3300159;10213;9181,41
3300209;112008;12334,08
3300225;11423;25489,97
3300233;27560;67880,64
3300258;27715;14407,41
3300308;94778;15531,96
3300407;177813;19454,36
3300456;469332;9434,25
3300506;25333;15914,11
3300605;35411;11885,72
3300704;186227;49946,19
3300803;54273;16663,72
3300902;14827;11279,40
3300936;13359;45252,21
3300951;8180;25533,94
3301009;463731;83453,36
3301108;19830;36458,06
3301157;12600;9262,71
3301207;17434;15264,82
3301306;35347;58566,13
3301405;21211;8468,47
3301504;20430;10355,46
3301603;10930;9725,02
3301702;855048;27025,07
3301801;13237;12740,93
3301850;51483;12049,01
3301876;22851;9360,65
3301900;218008;11140,95
3302007;109091;42595,30
3302056;14063;11654,84
3302106;22899;11216,71
3302205;95841;14979,99
3302254;28783;51818,33
3302270;95492;7264,49
3302304;7487;10364,38
3302403;206728;65845,25
3302452;5269;17856,08
3302502;227322;10398,40
3302601;36456;48810,75
3302700;127461;14690,15
3302809;17935;9613,84
3302858;168376;8627,13
3302908;24642;14596,66
3303005;26843;9255,11
3303104;15082;10096,82
3303203;157425;10857,46
3303302;487562;25830,50
3303401;182082;16048,30
3303500;796257;12754,86
3303609;47124;9573,28
3303708;41084;13928,75
3303807;37533;21535,68
3303856;26359;10830,64
3303906;295917;24470,77
3303955;22719;9052,63
3304003;26314;39725,35
3304102;17760;10182,23
3304110;16592;312220,71
3304128;12793;21107,15
3304144;137962;14734,67
3304151;20242;187271,41
3304201;119769;48228,71
3304300;55551;21019,26
3304409;17425;11860,14
3304508;8561;34143,62
3304524;105676;84702,45
3304557;6320446;32919,88
3304607;10321;13178,20
3304706;40589;14396,61
3304755;41354;11516,64
3304805;37543;10441,39
3304904;999728;10328,22
3305000;32747;186154,63
3305109;458673;10918,40
3305133;7003;10070,19
3305158;20251;29479,85
3305208;87875;10557,83
3305307;8895;15143,04
3305406;17525;25173,43
3305505;74234;19730,89
3305554;78186;10754,58
3305604;21349;10556,71
3305703;14900;13852,26
3305752;30732;11079,34
3305802;163746;17684,31
3305901;10289;8689,28
3306008;77432;23686,36
3306107;71843;14223,67
3306156;9475;8651,17
3306206;34410;14258,57
3306305;257803;37429,33
