codigo;populacao;pibpercapta
3300100;169511;37403,66
3300233;27560;67880,64
3300704;186227;49946,19
3300936;13359;45252,21
3301009;463731;83453,36
3301108;19830;36458,06
3301306;35347;58566,13
3302007;109091;42595,3
3302254;28783;51818,33
3302403;206728;65845,25
3302601;36456;48810,75
3304003;26314;39725,35
3304110;16592;312220,71
3304151;20242;187271,41
3304201;119769;48228,71
3304508;8561;34143,62
3304524;105676;84702,45
3304557;6320446;32919,88
3305000;32747;186154,63
3305158;20251;29479,85
3306305;257803;37429,33
