,BRPRE1M=BMF,BRPRE2M=BMF,BRPRE3M=BMF,BRPRE4M=BMF,BRPRE5M=BMF,BRPRE6M=BMF,BRPRE7M=BMF,BRPRE8M=BMF,BRPRE9M=BMF,BRPRE10M=BMF,BRPRE11M=BMF,BRPRE1Y=BMF,BRPRE2Y=BMF,BRPRE3Y=BMF,BRPRE4Y=BMF,BRPRE5Y=BMF,BRPRE6Y=BMF,BRPRE7Y=BMF,BRPRE8Y=BMF,BRPRE9Y=BMF,BRPRE10Y=BMF
2022-10-31,0.13659000000000002,0.1367,0.13688,0.13699,0.13699,0.13672,0.13656000000000001,0.13605,0.13482,0.13388,0.13286,0.1313,0.11807000000000001,0.11481999999999999,0.11495,0.11537000000000001,0.11619,0.11676,0.11718,0.11718999999999999,0.11747999999999999
2022-09-30,0.13668,0.13682,0.13689,0.13762,0.13654,0.13688,0.13678,0.13608,0.13558,0.1348,0.13341,0.13244999999999998,0.11938,0.11612,0.11669,0.11731,0.11843999999999999,0.11913,0.11949,0.11941,0.11964000000000001
2022-08-31,0.13673,0.13708,0.13743,0.13745,0.13754,0.1376,0.13749,0.13774,0.13738,0.13673,0.13613,0.13526,0.12375,0.11913,0.11898,0.11869,0.11989000000000001,0.12022000000000001,0.12065,0.1206,0.12099
2022-07-31,0.13513,0.13619,0.13724,0.13796,0.13836,0.13879,0.13894,0.13915,0.13915,0.13916,0.13877,0.13823,0.13064,0.12714,0.12737,0.12863,0.12819,0.12925,0.12952,0.12958999999999998,0.1298
2022-06-30,0.13144,0.1333,0.13479,0.13593,0.13701,0.13782,0.13877,0.139,0.13923,0.13963,0.13971,0.13923,0.13231,0.12781,0.12699,0.12912,0.12815,0.12958,0.12956,0.12963,0.12948
2022-05-31,0.12863,0.13026,0.13171,0.13243,0.13336,0.13398,0.13406,0.13492,0.13501,0.13495,0.135,0.13497,0.12738,0.12327,0.1219,0.12240999999999999,0.12281,0.12355000000000001,0.12394999999999999,0.12437,0.12451000000000001
2022-04-30,0.12403,0.1263,0.12795,0.12905,0.12960000000000002,0.13015000000000002,0.1305,0.13032,0.13092,0.12999,0.13041,0.13075,0.12442,0.11951,0.11839000000000001,0.11799,0.11909,0.11974,0.12019,0.12104,0.12103
2022-03-31,0.11635,0.12044,0.12296,0.12429,0.12544,0.12652,0.12705,0.12755,0.12773,0.12808999999999998,0.12811,0.12777,0.12002,0.11452,0.11287000000000001,0.11332,0.11385999999999999,0.1153,0.11591,0.11606,0.11628
2022-02-28,0.11112999999999999,0.11365,0.11678000000000001,0.11914999999999999,0.12112,0.12261,0.12351000000000001,0.1244,0.12452,0.12473000000000001,0.12474,0.12472,0.11882,0.11392,0.11324,0.11285,0.11375,0.11505000000000001,0.11566000000000001,0.11602,0.11634
2022-01-31,0.10278999999999999,0.10795,0.11112,0.11487,0.11715,0.11834,0.11988,0.12115999999999999,0.12174,0.12168,0.12237999999999999,0.12289,0.11757999999999999,0.11353999999999999,0.11316000000000001,0.11372,0.1139,0.11432,0.11352000000000001,0.11461,0.11502000000000001
