,IBOV
2012-06-30,54355.0
2012-07-31,56097.0
2012-08-31,57061.0
2012-09-30,59176.0
2012-10-31,57068.0
2012-11-30,57475.0
2012-12-31,60952.0
2013-01-31,59761.0
2013-02-28,57424.0
2013-03-31,56352.0
2013-04-30,55910.0
2013-05-31,53506.0
2013-06-30,47457.0
2013-07-31,48234.0
2013-08-31,50008.0
2013-09-30,52338.0
2013-10-31,54256.0
2013-11-30,52482.0
2013-12-31,51507.0
2014-01-31,47639.0
2014-02-28,47094.0
2014-03-31,50415.0
2014-04-30,51626.0
2014-05-31,51239.0
2014-06-30,53168.0
2014-07-31,55829.0
2014-08-31,61288.0
2014-09-30,54116.0
2014-10-31,54629.0
2014-11-30,54664.0
2014-12-31,50007.0
2015-01-31,46908.0
2015-02-28,51583.0
2015-03-31,51150.0
2015-04-30,56229.0
2015-05-31,52760.0
2015-06-30,53081.0
2015-07-31,50865.0
2015-08-31,46626.0
2015-09-30,45059.0
2015-10-31,45869.0
2015-11-30,45120.0
2015-12-31,43350.0
2016-01-31,40406.0
2016-02-29,42794.0
2016-03-31,50055.0
2016-04-30,53911.0
2016-05-31,48472.0
2016-06-30,51527.0
2016-07-31,57308.0
2016-08-31,57901.0
2016-09-30,58367.0
2016-10-31,64925.0
2016-11-30,61906.0
2016-12-31,60227.0
2017-01-31,64671.0
2017-02-28,66662.0
2017-03-31,64984.0
2017-04-30,65403.0
2017-05-31,62711.0
2017-06-30,62900.0
2017-07-31,65920.0
2017-08-31,70835.0
2017-09-30,74294.0
2017-10-31,74308.0
2017-11-30,71971.0
2017-12-31,76402.0
2018-01-31,84913.0
2018-02-28,85481.0
2018-03-31,85366.0
2018-04-30,86115.0
2018-05-31,76754.0
2018-06-30,72763.0
2018-07-31,79220.0
2018-08-31,76678.0
2018-09-30,79342.0
2018-10-31,87424.0
2018-11-30,89504.0
2018-12-31,87887.0
2019-01-31,97394.0
2019-02-28,95584.0
2019-03-31,95415.0
2019-04-30,96353.0
2019-05-31,97030.0
2019-06-30,100967.0
2019-07-31,101812.0
2019-08-31,101135.0
2019-09-30,104745.0
2019-10-31,107220.0
2019-11-30,108233.0
2019-12-31,115964.0
2020-01-31,113761.0
2020-02-29,104172.0
2020-03-31,73020.0
2020-04-30,80506.0
2020-05-31,87403.0
2020-06-30,95056.0
2020-07-31,102912.0
2020-08-31,99369.0
2020-09-30,94603.0
2020-10-31,93952.0
2020-11-30,108888.0
2020-12-31,119306.0
2021-01-31,116007.0
2021-02-28,110035.0
2021-03-31,116634.0
2021-04-30,118894.0
2021-05-31,126216.0
2021-06-30,126802.0
2021-07-31,121801.0
2021-08-31,118781.0
2021-09-30,110979.0
2021-10-31,103501.0
2021-11-30,101915.0
2021-12-31,104822.0
2022-01-31,112388.0
2022-02-28,113142.0
2022-03-31,119999.0
2022-04-30,107876.0
2022-05-31,111351.0
2022-06-30,98542.0
2022-07-31,103165.0
2022-08-31,109523.0
2022-09-30,110037.0
2022-10-31,116037.0
2022-11-30,112486.0
2022-12-31,110031.0
2023-01-31,113532.0
2023-02-28,104932.0
2023-03-31,101882.0
2023-04-30,104432.0
